address1,address2,address3,longBusinessSummary,companyOfficers,executiveTeam,maxAge,priceHint,previousClose,regularMarketPreviousClose,trailingPE,averageVolume,averageVolume10days,averageDailyVolume10Day,yield,ytdReturn,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,currency,tradeable,morningStarOverallRating,morningStarRiskRating,annualReportExpenseRatio,beta3Year,fundInceptionDate,lastDividendValue,lastCapGain,annualHoldingsTurnover,quoteType,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,marketState,shortName,longName,dividendRate,dividendYield,trailingThreeMonthReturns,netAssets,epsTrailingTwelveMonths,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,netExpenseRatio,sourceInterval,exchangeDataDelayedBy,corporateActions,regularMarketTime,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,cryptoTradeable,hasPrePostMarketData,firstTradeDateMilliseconds,regularMarketChange,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,trailingPegRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,phone,financialCurrency,sharesOutstanding,bookValue,marketCap,priceToBook
Valley Forge PA 19482,Po Box 2600 V26,Vanguard Health Care,"The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.",[],[],86400,2,360.69998,360.69998,39.275936,0.0,0.0,0.0,0.0045,11.31573,114891825152,240.37,362.09,342.1326,314.4618,USD,False,5,3,0.00090000004,1.25,1075075200,0.7325,25.0,0.13,MUTUALFUND,VITAX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Vanguard Information Technology,Vanguard Information Technology Idx Adm,0.7325,0.45,25.66171,114891825000.0,9.124416,16.237396,0.047459368,43.908203,0.13962969,0.09,15,0,[],1755302668,NAS,finmb_22939099,America/New_York,EDT,-14400000,us_market,False,-0.6459662,358.37,False,False,1075732200000,-2.33,Nasdaq,0.0,118.0,0.49090984,240.37 - 362.09,-3.7200012,-0.010273692,20.557762,,,,,,,,,
"San Mateo, CA 94403-1906",Fidelity Mt Vernon Street Trust,Franklin Custodian Funds,"The fund invests primarily in equity securities of companies that the investment manager believes are leaders in innovation, take advantage of new technologies, have superior management, and benefit from new industry conditions in the dynamically changing global economy. It invests predominantly in common stock. The investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States.",[],[],86400,2,209.31999,209.31999,43.983944,0.0,0.0,0.0,0.0,12.66812,28125005824,143.55,210.32,199.4246,183.64626,USD,False,3,5,0.0054,1.24,1210809600,,60.0,0.119399995,MUTUALFUND,FDYZX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Franklin DynaTech Fund Class Ad,Franklin DynaTech Adv,,0.0,23.48394,28125005800.0,4.753098,9.635391,0.04831596,25.413742,0.13838421,0.54,15,0,[],1755302653,NAS,finmb_28125223,America/New_York,EDT,-14400000,us_market,False,-0.124211736,209.06,False,False,1210858200000,-0.26,Nasdaq,0.0,65.509995,0.4563566,143.55 - 210.32,-1.2600098,-0.0059909173,21.06787,,,,,,,,,
"San Mateo, CA 94403-1906",Fidelity Mt Vernon Street Trust,Franklin Custodian Funds,"The fund invests primarily in equity securities of companies that the investment manager believes are leaders in innovation, take advantage of new technologies, have superior management, and benefit from new industry conditions in the dynamically changing global economy. It invests predominantly in common stock. The investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States.",[],[],86400,2,157.33,157.33,43.92628,0.0,0.0,0.0,0.0,12.01475,28125005824,108.27,158.09,150.0736,138.59315,USD,False,2,5,0.0154,1.24,1210809600,,60.0,0.119399995,MUTUALFUND,FDYNX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Franklin Dynatech Fund Class C,Franklin DynaTech C,,0.0,23.1717,28125005800.0,3.576902,7.046402,0.046952978,18.52684,0.13367788,1.54,15,0,[],1755302653,NAS,finmb_28125223,America/New_York,EDT,-14400000,us_market,False,-0.13347739,157.12,False,False,842880600000,-0.21,Nasdaq,0.0,48.85,0.45118684,108.27 - 158.09,-0.9700012,-0.0061357534,19.865726,,,,,,,,,
"San Mateo, CA 94403-1906",Fidelity Mt Vernon Street Trust,Franklin Custodian Funds,"The fund invests primarily in equity securities of companies that the investment manager believes are leaders in innovation, take advantage of new technologies, have superior management, and benefit from new industry conditions in the dynamically changing global economy. It invests predominantly in common stock. The investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States.",[],[],86400,2,212.75,212.75,43.99188,0.0,0.0,0.0,0.0,12.72336,28125005824,145.85,213.77,202.736,186.6065,USD,False,3,5,0.0045,1.24,1210809600,,60.0,0.119399995,MUTUALFUND,FDTRX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Franlin DynaTech Fund Cl R6,Franklin DynaTech R6,,0.0,23.51241,28125005800.0,4.8302097,9.754013,0.048111897,25.8835,0.13870631,0.45,15,0,[],1755302653,NAS,finmb_28125223,America/New_York,EDT,-14400000,us_market,False,-0.12220916,212.49,False,False,1372253400000,-0.26,Nasdaq,0.0,66.64,0.45690775,145.85 - 213.77,-1.2799988,-0.005987738,21.173584,,,,,,,,,
"San Mateo, CA 94403-1906",Fidelity Mt Vernon Street Trust,Franklin Custodian Funds,"The fund invests primarily in equity securities of companies that the investment manager believes are leaders in innovation, take advantage of new technologies, have superior management, and benefit from new industry conditions in the dynamically changing global economy. It invests predominantly in common stock. The investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States.",[],[],86400,2,199.53,199.53,43.969593,0.0,0.0,0.0,0.0,12.50787,28125005824,136.95,200.48,190.1342,175.2216,USD,False,3,5,0.007900001,1.24,1210809600,,60.0,0.119399995,MUTUALFUND,FKDNX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Franklin Dynatech Fund Class A,Franklin DynaTech A,,0.0,23.40599,28125005800.0,4.531996,9.135803,0.048049238,24.0484,0.13724564,0.79,15,0,[],1755302655,NAS,finmb_28125223,America/New_York,EDT,-14400000,us_market,False,-0.13030621,199.27,False,False,315671400000,-0.26,Nasdaq,0.0,62.320007,0.45505667,136.95 - 200.48,-1.2099915,-0.0060354723,20.769691,,,,,,,,,
"San Mateo, CA 94403-1906",Fidelity Mt Vernon Street Trust,Franklin Custodian Funds,"The fund invests primarily in equity securities of companies that the investment manager believes are leaders in innovation, take advantage of new technologies, have superior management, and benefit from new industry conditions in the dynamically changing global economy. It invests predominantly in common stock. The investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States.",[],[],86400,2,190.32,190.32,43.95704,0.0,0.0,0.0,0.0,12.34264,28125005824,130.75,191.24,181.4054,167.30286,USD,False,2,5,0.0104,1.24,1210809600,,60.0,0.119399995,MUTUALFUND,FDNRX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Franklin Dynatech Fd Cl R,Franklin DynaTech R,,0.0,23.32851,28125005800.0,4.324222,8.674606,0.0478189,22.777145,0.1361432,1.04,15,0,[],1755302653,NAS,finmb_28125223,America/New_York,EDT,-14400000,us_market,False,-0.12610339,190.08,False,False,1228141800000,-0.24,Nasdaq,0.0,59.33,0.45376673,130.75 - 191.24,-1.1600037,-0.0060656955,20.471537,,,,,,,,,
Boston MA 02109,82 Devonshire Street,Fidelity Select Portfolios,"The fund invests primarily in common stocks. It invests at least 80% of its assets in securities of companies principally engaged in the design, manufacture, or sale of semiconductors and semiconductor equipment. The fund invests in domestic and foreign issuers. It uses fundamental analysis of factors such as each issuer's financial condition and industry position, as well as market and economic conditions, to select investments. The fund is non-diversified.",[],[],86400,2,38.84,38.84,,0.0,0.0,0.0,0.0,17.62244,23061657600,22.88,38.89,35.7316,32.6528,USD,False,5,5,0.0062,1.76,491443200,0.024,40.0,0.59,MUTUALFUND,FSELX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Fidelity Select Semiconductors ,Fidelity Select Semiconductors,0.024,0.0,43.52851,23061657600.0,,2.3583984,0.06600315,5.4371986,0.16651553,0.62,15,0,[],1755302656,NAS,finmb_28181084,America/New_York,EDT,-14400000,us_market,False,-1.930999,38.09,False,False,491491800000,-0.75,Nasdaq,0.0,15.210001,0.6647728,22.88 - 38.89,-0.79999924,-0.020570822,10.182238,,0.0,0.0,,,,,,
Boston MA 02109,82 Devonshire Street,Fidelity Select Portfolios,"The fund primarily invests in common stocks. It normally invests at least 80% of assets in securities of companies principally engaged in offering, using, or developing products, processes, or services that will provide or will benefit significantly from technological advances and improvements. The fund invests in domestic and foreign issuers. It uses fundamental analysis of factors such as each issuer's financial condition and industry position, as well as market and economic conditions, to select investments. The fund is non-diversified.",[],[],86400,2,40.85,40.85,,0.0,0.0,0.0,0.0,12.43708,18180386816,27.27,41.02,38.7476,36.113,USD,False,4,4,0.0062,1.28,363916800,0.003,45.0,0.44,MUTUALFUND,FSPTX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Fidelity Select Technology,Fidelity Select Technology,0.003,0.0,30.20329,18180386800.0,,1.8023987,0.046516396,4.4370003,0.12286435,0.62,15,0,[],1755302656,NAS,finmb_28180475,America/New_York,EDT,-14400000,us_market,False,-0.7343942,40.55,False,False,363965400000,-0.3,Nasdaq,0.0,13.279999,0.486982,27.27 - 41.02,-0.47000122,-0.011457855,12.576342,,,,,,,,,
BOSTON MA 02110,225 FRANKLIN STREET,Columbia Funds Series Trust II,"Under normal market conditions, the fund invests at least 80% of its net assets in securities of technology and information companies. These companies in which the fund will concentrate are companies operating in the information technology and communications services sectors, applying a global industry classification standard, as may be amended from time to time, to determine industry/sector classifications, as well as other related industries. The fund may invest up to 25% of its net assets in foreign investments. It is non-diversified.",[],[],86400,2,128.02,128.02,31.206009,0.0,0.0,0.0,0.0,10.70947,15226536960,83.88,132.26,117.5938,111.42035,USD,False,4,3,0.0143,1.35,1285545600,0.36016,45.0,0.33,MUTUALFUND,SCIRX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,Columbia Seligman Communication,Columbia Seligman Tech & Info R,0.36016,0.0,28.92147,15226537000.0,4.0559497,8.976196,0.07633222,15.149651,0.13596843,1.43,15,0,[],1755302666,NAS,finmb_6995573,America/New_York,EDT,-14400000,us_market,False,-1.1326355,126.57,False,False,1051709400000,-1.45,Nasdaq,0.0,42.690002,0.5089414,83.88 - 132.26,-5.689995,-0.043021284,7.7283144,,9.16,0.071551315,612-671-4321,USD,86991504.0,105.533,11010514944.0,1.1993405
BOSTON MA 02110,225 FRANKLIN STREET,Columbia Funds Series Trust II,"Under normal market conditions, the fund invests at least 80% of its net assets in securities of technology and information companies. These companies in which the fund will concentrate are companies operating in the information technology and communications services sectors, applying a global industry classification standard, as may be amended from time to time, to determine industry/sector classifications, as well as other related industries. The fund may invest up to 25% of its net assets in foreign investments. It is non-diversified.",[],[],86400,2,171.24,171.24,31.224844,,,,,11.03244,15226536960,112.0,171.51,157.2222,148.0253,USD,False,4,4,0.0093,1.35,1285545600,,45.0,0.33,MUTUALFUND,CCIFX,en-US,US,Fund,Delayed Quote,False,NONE,CLOSED,,Columbia Seligman Technology And Info S,,,29.08663,15226537000.0,5.4219646,12.077805,0.07681997,21.274704,0.14372343,0.93,15,0,[],1755302412,NAS,finmb_6995573,America/New_York,EDT,-14400000,us_market,False,-1.1329129,169.3,False,False,1727962200000,-1.94,Nasdaq,,57.300003,0.51160717,112.0 - 171.51,-2.2099915,-0.012885497,11.440229,,,,612-671-4321,,,,,
