country,company_name,company_ticker,eps,eps_forcast,revenue,revenue_forcast,company_mkcap,time,date
ארצות הברית,ג'ונסון וג'ונסון,JNJ,2.77,2.68  /,23.74B,22.86B  /,373.35B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,בנק אוף אמריקה,BAC,0.89,0.86  /,26.5B,26.75B  /,347.6B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,ASML הולדינג,ASML,5.9,5.15  /,7.69B,7.54B  /,297.97B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,מורגן סטנלי,MS,2.13,1.98  /,16.8B,16.01B  /,227.16B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,גולדמן זאקס,GS,10.91,9.59  /,14.58B,13.51B  /,205.87B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,פרוגרסיב,PGR,5.4,4.36  /,20.08B,20.48B  /,141.98B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,פרו-לוגיס,PLD,0.61,0.69  /,2.04B,2.01B  /,102.63B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,PNC פייננשל,PNC,3.85,3.55  /,5.66B,5.61B  /,76B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,קינדר מורגן,KMI,--,0.2803  /,--,3.75B  /,62.08B,לאחר סגירת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,M&T בנק,MTB,4.28,3.99  /,2.4B,2.39B  /,31.67B,לפני פתיחת המסחר,"יום רביעי, 16 ביולי, 2025"
ארצות הברית,יונייטד איירליינס,UAL,--,3.81  /,--,15.36B  /,28.21B,לאחר סגירת המסחר,"יום רביעי, 16 ביולי, 2025"
